company,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Race,Education
Google,400000,5,5,Male,Asian,PhD
Microsoft,136000,3,2,Male,Two Or More,Bachelor's Degree
Google,337000,6,6,Male,Asian,Bachelor's Degree
Microsoft,222000,4,4,Male,Asian,Master's Degree
Amazon,310000,15,3,Male,Asian,Bachelor's Degree
Amazon,620000,19,7,Male,Asian,Bachelor's Degree
Apple,180000,1,1,Male,Asian,Bachelor's Degree
Amazon,210000,4,1,Male,Hispanic,Highschool
Amazon,142000,0,0,Male,Asian,Master's Degree
Facebook,242000,2,2,Male,White,Master's Degree
Microsoft,135000,1,0,Female,Hispanic,Bachelor's Degree
Microsoft,173000,10,2,Male,Asian,Bachelor's Degree
Microsoft,328000,12,0,Male,Asian,Bachelor's Degree
Facebook,309000,14,2,Male,Two Or More,Master's Degree
Google,46000,2,0,Male,Asian,Bachelor's Degree
Facebook,255000,6,2,Male,Asian,Master's Degree
Amazon,50000,3,3,Male,Asian,Bachelor's Degree
Apple,309000,10,1,Male,Hispanic,Bachelor's Degree
Amazon,189000,2,0,Male,Asian,Bachelor's Degree
Amazon,347000,18,3,Male,Asian,Master's Degree
Amazon,550000,10,6,Male,White,PhD
Facebook,272000,2,0,Male,Asian,Master's Degree
Facebook,272000,5,0,Other,White,Bachelor's Degree
Apple,162000,0,0,Female,White,Bachelor's Degree
Amazon,252000,4,0,Male,Asian,Bachelor's Degree
Amazon,181000,10,2,Male,Black,Bachelor's Degree
Oracle,176000,0,0,Female,White,Bachelor's Degree
Google,289000,6,1,Male,Asian,Master's Degree
Facebook,334000,11,3,Male,Hispanic,Master's Degree
Microsoft,441000,13,9,Other,White,Master's Degree
Microsoft,227000,6,0,Male,Asian,Master's Degree
Google,354000,12,12,Male,Asian,PhD
Microsoft,156000,7,7,Female,Asian,Bachelor's Degree
Microsoft,167000,6,3,Male,Asian,Master's Degree
Microsoft,188000,4,1,Female,Asian,Master's Degree
Amazon,215000,3,1,Male,Asian,Master's Degree
Apple,202000,3,2,Male,White,Bachelor's Degree
Facebook,185000,0,0,Male,Asian,Master's Degree
Amazon,300000,16,4,Male,Asian,Master's Degree
Google,247000,3,0,Male,White,Bachelor's Degree
Google,170000,3,3,Male,White,Bachelor's Degree
Facebook,205000,0,0,Female,Asian,PhD
Google,275000,3,3,Male,Asian,Master's Degree
Microsoft,220000,4,2,Male,White,PhD
Facebook,855000,15,0,Male,Asian,Master's Degree
Amazon,200000,9,3,Male,Asian,Master's Degree
Amazon,215000,4,3,Male,Asian,Master's Degree
Amazon,146000,0,0,Male,Asian,Bachelor's Degree
Facebook,151000,3,0,Male,Asian,Bachelor's Degree
Amazon,155000,17,2,Male,White,Master's Degree
Amazon,25000,2,1,Male,Asian,Bachelor's Degree
Microsoft,150000,12,3,Male,White,Master's Degree
Amazon,185000,25,0,Male,White,Bachelor's Degree
Google,150000,10,1,Female,Two Or More,Master's Degree
Apple,298000,1,0,Female,Asian,Master's Degree
Amazon,230000,8,0,Male,White,Some College
Microsoft,230000,5,5,Male,Hispanic,Bachelor's Degree
Facebook,334000,10,4,Male,Asian,Bachelor's Degree
Microsoft,350000,15,7,Male,White,PhD
Amazon,214000,10,1,Male,White,Highschool
Amazon,200000,1,1,Male,White,Bachelor's Degree
Facebook,400000,15,1,Male,Asian,Bachelor's Degree
Facebook,141000,5,2,Male,White,Bachelor's Degree
Microsoft,193000,3,3,Male,Asian,Bachelor's Degree
Google,195000,0,0,Male,Hispanic,Bachelor's Degree
Apple,320000,7,0,Male,White,Bachelor's Degree
Amazon,333000,15,0,Male,White,Some College
Amazon,251000,5,5,Male,Asian,Bachelor's Degree
Apple,340000,9,0,Male,White,Some College
Amazon,336000,14,3,Male,White,Master's Degree
Facebook,281000,10,3,Male,White,Bachelor's Degree
Amazon,135000,3,0,Male,Hispanic,Bachelor's Degree
Oracle,175000,1,0,Male,Asian,Master's Degree
Apple,200000,10,0,Other,White,Bachelor's Degree
Amazon,120000,7,2,Male,White,Bachelor's Degree
Amazon,240000,5,2,Male,White,Bachelor's Degree
Microsoft,128000,3,3,Male,White,Bachelor's Degree
Microsoft,139000,4,1,Male,Asian,Master's Degree
Amazon,161000,1,1,Male,Asian,Master's Degree
Microsoft,175000,1,1,Male,White,Master's Degree
Amazon,505000,13,0,Male,Asian,Master's Degree
Amazon,340000,8,8,Male,Asian,Master's Degree
Facebook,236000,6,2,Male,Asian,PhD
Amazon,202000,6,4,Male,White,Bachelor's Degree
Microsoft,168000,6,1,Male,White,Bachelor's Degree
Amazon,159000,15,3,Male,White,Master's Degree
Amazon,112000,0,0,Female,Asian,Master's Degree
Amazon,245000,15,5,Male,Asian,Master's Degree
Amazon,188000,0,0,Female,Asian,Master's Degree
